sku,barcode,category,subcategory,product_name,variant_name,net_content,selling_unit,retail_price_dzd,purchase_price_dzd,supplier_code,purchase_unit,units_per_purchase_unit,shelf_life_days,base_daily_rate,seasonality_profile,substitutability_tier
GDZ-0041,2000000000411,Produits Laitiers & Crémerie,Laits & Lben,Lben Candia,Bouteille 1L,1000 ml,piece,110.00,83.29,SUP-LAIT,carton,12,10,2.544,ramadan_fresh,2
GDZ-0042,2000000000428,Produits Laitiers & Crémerie,Yaourts & Crèmes,Crème Fraîche Soummam,Pot 20cl 30% MG,200 ml,piece,140.00,110.86,SUP-LAIT,carton,12,30,0.752,ramadan_cooking,2
GDZ-0043,2000000000435,Produits Laitiers & Crémerie,Yaourts & Crèmes,Crème Fraîche Soummam,Pot 40cl 30% MG,400 ml,piece,254.00,200.08,SUP-LAIT,carton,6,30,0.294,ramadan_cooking,2
GDZ-0044,2000000000442,Produits Laitiers & Crémerie,Yaourts & Crèmes,Crème Liquide Soummam,Brique 20cl 30% MG,200 ml,piece,130.00,98.05,SUP-LAIT,carton,12,30,1.122,ramadan_cooking,2
GDZ-0045,2000000000459,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Boîte 8 portions 120g,120 g,piece,194.00,132.27,SUP-LAIT,carton,48,180,1.656,dairy_stable,2
GDZ-0046,2000000000466,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Boîte 16 portions 240g,240 g,piece,300.00,207.50,SUP-LAIT,carton,24,180,0.691,dairy_stable,2
GDZ-0047,2000000000473,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Boîte 24 portions 360g,360 g,piece,430.00,312.77,SUP-LAIT,carton,20,180,0.610,dairy_stable,2
GDZ-0048,2000000000480,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Bloc Rouge 400g,400 g,piece,430.00,305.09,SUP-LAIT,carton,12,180,0.357,dairy_stable,2
GDZ-0049,2000000000497,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Bloc Rouge 800g,800 g,piece,872.00,617.82,SUP-LAIT,carton,6,180,0.559,dairy_stable,2
GDZ-0050,2000000000503,Produits Laitiers & Crémerie,Fromages,Fromage Tartino,Sachet Râpé 200g,200 g,piece,260.00,185.33,SUP-LAIT,carton,30,180,0.631,dairy_stable,2
GDZ-0051,2000000000510,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Spaghetti N°3 Pack 500g,500 g,piece,100.00,81.21,SUP-EPIC,carton,20,540,0.997,staples,1
GDZ-0052,2000000000527,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Coquillettes Pack 500g,500 g,piece,100.00,81.15,SUP-EPIC,carton,20,540,0.808,staples,1
GDZ-0053,2000000000534,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Macaroni Pack 500g,500 g,piece,98.00,75.12,SUP-EPIC,carton,20,540,1.157,staples,1
GDZ-0054,2000000000541,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Coude Petit Pack 500g,500 g,piece,95.00,77.53,SUP-EPIC,carton,20,540,0.726,staples,1
GDZ-0055,2000000000558,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Tlitli Langue d'Oiseau Pack 500g,500 g,piece,95.00,74.56,SUP-EPIC,carton,20,540,0.862,ramadan_staples,1
GDZ-0056,2000000000565,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Vermicelle Cheveux d'Ange Pack 500g,500 g,piece,95.00,76.37,SUP-EPIC,carton,20,540,0.949,ramadan_staples,1
GDZ-0057,2000000000572,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Sim,Penne Rigate Pack 500g,500 g,piece,100.00,79.01,SUP-EPIC,carton,20,540,0.753,staples,1
GDZ-0058,2000000000589,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Spaghetti N°3 Pack 500g,500 g,piece,95.00,76.94,SUP-EPIC,carton,20,540,0.924,staples,1
GDZ-0059,2000000000596,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Coquillettes Pack 500g,500 g,piece,100.00,79.96,SUP-EPIC,carton,20,540,0.714,staples,1
GDZ-0060,2000000000602,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Plumes Penne Pack 500g,500 g,piece,95.00,75.37,SUP-EPIC,carton,20,540,1.410,staples,1
GDZ-0061,2000000000619,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Langue d'Oiseau Pack 500g,500 g,piece,95.00,74.58,SUP-EPIC,carton,20,540,0.866,ramadan_staples,1
GDZ-0062,2000000000626,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Tlitli Pack 500g,500 g,piece,100.00,81.56,SUP-EPIC,carton,20,540,0.808,ramadan_staples,1
GDZ-0063,2000000000633,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Amor Benamor,Cheveux d'Ange Pack 500g,500 g,piece,95.00,74.87,SUP-EPIC,carton,20,540,0.614,ramadan_staples,1
GDZ-0064,2000000000640,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Mama,Spaghetti Pack 500g,500 g,piece,100.00,82.01,SUP-EPIC,carton,20,540,1.127,staples,1
GDZ-0065,2000000000657,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Mama,Coquillettes Pack 500g,500 g,piece,95.00,76.26,SUP-EPIC,carton,20,540,0.925,staples,1
GDZ-0066,2000000000664,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Mama,Macaroni Pack 500g,500 g,piece,95.00,78.15,SUP-EPIC,carton,20,540,1.811,staples,1
GDZ-0067,2000000000671,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Mama,Tlitli Pack 500g,500 g,piece,100.00,80.09,SUP-EPIC,carton,20,540,1.010,ramadan_staples,1
GDZ-0068,2000000000688,Épicerie Salée,Pâtes & Couscous,Pâtes Alimentaires Mama,Cannelloni Boîte 250g,250 g,piece,170.00,133.95,SUP-EPIC,carton,20,540,0.157,staples,1
GDZ-0069,2000000000695,Épicerie Salée,Pâtes & Couscous,Couscous Sim,Fin Sachet 1kg,1000 g,piece,190.00,150.24,SUP-EPIC,carton,10,540,0.850,staples,1
GDZ-0070,2000000000701,Épicerie Salée,Pâtes & Couscous,Couscous Sim,Moyen Sachet 1kg,1000 g,piece,200.00,165.02,SUP-EPIC,carton,10,540,0.671,staples,1
GDZ-0071,2000000000718,Épicerie Salée,Pâtes & Couscous,Couscous Sim,Gros Sachet 1kg,1000 g,piece,194.00,152.41,SUP-EPIC,carton,10,540,0.530,staples,1
GDZ-0072,2000000000725,Épicerie Salée,Pâtes & Couscous,Couscous Sim,Moyen Sachet 500g,500 g,piece,140.00,109.21,SUP-EPIC,carton,20,540,1.245,staples,1
GDZ-0073,2000000000732,Épicerie Salée,Pâtes & Couscous,Couscous Sim,Complet Orge Sachet 1kg,1000 g,piece,210.00,164.87,SUP-EPIC,carton,10,540,0.775,staples,1
GDZ-0074,2000000000749,Épicerie Salée,Pâtes & Couscous,Couscous Mama,Fin Sachet 1kg,1000 g,piece,212.00,166.25,SUP-EPIC,carton,10,540,0.900,staples,1
GDZ-0075,2000000000756,Épicerie Salée,Pâtes & Couscous,Couscous Mama,Moyen Sachet 1kg,1000 g,piece,200.00,160.88,SUP-EPIC,carton,10,540,1.051,staples,1
GDZ-0076,2000000000763,Épicerie Salée,Pâtes & Couscous,Couscous Mama,Gros Sachet 1kg,1000 g,piece,200.00,158.98,SUP-EPIC,carton,10,540,0.587,staples,1
GDZ-0077,2000000000770,Épicerie Salée,Pâtes & Couscous,Couscous Mama,Moyen Sachet 500g,500 g,piece,140.00,112.94,SUP-EPIC,carton,20,540,0.766,staples,1
GDZ-0078,2000000000787,Épicerie Salée,Pâtes & Couscous,Couscous Amor Benamor,Fin Sachet 1kg,1000 g,piece,190.00,154.25,SUP-EPIC,carton,10,540,1.071,staples,1
GDZ-0079,2000000000794,Épicerie Salée,Pâtes & Couscous,Couscous Amor Benamor,Moyen Sachet 1kg,1000 g,piece,204.00,159.81,SUP-EPIC,carton,10,540,1.202,staples,1
GDZ-0080,2000000000800,Épicerie Salée,Pâtes & Couscous,Couscous Amor Benamor,Gros Sachet 1kg,1000 g,piece,192.00,149.53,SUP-EPIC,carton,10,540,0.958,staples,1
GDZ-0081,2000000000817,Épicerie Salée,Semoule & Farine,Semoule Extra,Fine Sachet 1kg,1000 g,piece,110.00,87.87,SUP-EPIC,carton,10,270,2.932,ramadan_staples,1
GDZ-0082,2000000000824,Épicerie Salée,Semoule & Farine,Semoule Extra,Moyenne Sachet 1kg,1000 g,piece,100.00,81.97,SUP-EPIC,carton,10,270,2.086,ramadan_staples,1
GDZ-0083,2000000000831,Épicerie Salée,Semoule & Farine,Semoule Extra,Grossière Sachet 1kg,1000 g,piece,120.00,98.46,SUP-EPIC,carton,10,270,1.779,ramadan_staples,1
GDZ-0084,2000000000848,Épicerie Salée,Semoule & Farine,Semoule Extra,Fine Sac 5kg,5000 g,piece,440.00,356.19,SUP-EPIC,carton,2,270,1.084,ramadan_staples,1
GDZ-0085,2000000000855,Épicerie Salée,Semoule & Farine,Semoule Extra,Moyenne Sac 5kg,5000 g,piece,480.00,390.79,SUP-EPIC,carton,2,270,0.894,ramadan_staples,1
GDZ-0086,2000000000862,Épicerie Salée,Semoule & Farine,Farine Sim,Super Supérieure T45 Pack 1kg,1000 g,piece,95.00,76.38,SUP-EPIC,carton,10,270,2.382,ramadan_baking,1
GDZ-0087,2000000000879,Épicerie Salée,Semoule & Farine,Farine Sim,Super Supérieure T45 Pack 2kg,2000 g,piece,180.00,141.81,SUP-EPIC,carton,6,270,0.665,ramadan_baking,1
GDZ-0088,2000000000886,Épicerie Salée,Semoule & Farine,Farine Sim,Super Supérieure T45 Sac 5kg,5000 g,piece,400.00,327.24,SUP-EPIC,carton,2,270,0.385,ramadan_baking,1
GDZ-0089,2000000000893,Épicerie Salée,Huiles,Huile de Table Fleurial Cevital,Bouteille PET 1L,1000 ml,piece,125.00,108.18,SUP-CEVI,carton,12,365,2.877,staples,1
GDZ-0090,2000000000909,Épicerie Salée,Huiles,Huile de Table Fleurial Cevital,Bouteille PET 2L,2000 ml,piece,250.00,216.35,SUP-CEVI,carton,6,365,2.004,staples,1
GDZ-0091,2000000000916,Épicerie Salée,Huiles,Huile de Table Fleurial Cevital,Bidon PET 5L,5000 ml,piece,650.00,563.81,SUP-CEVI,carton,2,365,1.304,staples,1
GDZ-0092,2000000000923,Épicerie Salée,Huiles,Huile de Table El Kseur,Bouteille PET 1L,1000 ml,piece,125.00,108.12,SUP-EPIC,carton,12,365,1.880,staples,1
GDZ-0093,2000000000930,Épicerie Salée,Huiles,Huile de Table El Kseur,Bidon PET 5L,5000 ml,piece,650.00,555.46,SUP-EPIC,carton,2,365,0.630,staples,1
GDZ-0094,2000000000947,Épicerie Salée,Huiles,Huile d'Olive Safia Cevital,Bouteille Verre 500ml,500 ml,piece,770.00,619.24,SUP-CEVI,carton,24,540,0.644,ramadan_cooking,3
GDZ-0095,2000000000954,Épicerie Salée,Huiles,Huile d'Olive Safia Cevital,Bouteille Verre 750ml,750 ml,piece,970.00,790.48,SUP-CEVI,carton,20,540,0.360,ramadan_cooking,3
GDZ-0096,2000000000961,Épicerie Salée,Huiles,Huile d'Olive Safia Cevital,Bouteille PET 1L,1000 ml,piece,1160.00,908.18,SUP-CEVI,carton,12,540,0.453,ramadan_cooking,3
GDZ-0097,2000000000978,Épicerie Salée,Légumes Secs,Légumes Secs Borjot,Lentilles Brunes Sachet 500g,500 g,piece,200.00,156.34,SUP-EPIC,carton,20,540,0.946,ramadan_staples,1
GDZ-0098,2000000000985,Épicerie Salée,Légumes Secs,Légumes Secs Borjot,Haricots Blancs Sachet 500g,500 g,piece,220.00,172.15,SUP-EPIC,carton,20,540,0.638,ramadan_staples,1
GDZ-0099,2000000000992,Épicerie Salée,Légumes Secs,Légumes Secs Borjot,Pois Chiches Sachet 500g,500 g,piece,270.00,218.52,SUP-EPIC,carton,20,540,0.672,ramadan_staples,1
GDZ-0100,2000000001005,Épicerie Salée,Légumes Secs,Légumes Secs Borjot,Lentilles Rouges Sachet 500g,500 g,piece,200.00,160.63,SUP-EPIC,carton,20,540,0.760,ramadan_staples,1
GDZ-0101,2000000001012,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Senior Original Biscuit au Lait 200g,200 g,piece,130.00,79.19,SUP-BOIS,carton,12,270,1.665,snacks,1
GDZ-0102,2000000001029,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Macao Biscuits Chocolat 100g,100 g,piece,70.00,41.77,SUP-BOIS,carton,24,270,1.002,snacks,1
GDZ-0103,2000000001036,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Macao Biscuits Vanille 100g,100 g,piece,75.00,47.56,SUP-BOIS,carton,24,270,1.901,snacks,1
GDZ-0104,2000000001043,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Tango Biscuits Enrobés Chocolat 255g,255 g,piece,160.00,100.09,SUP-BOIS,carton,10,270,0.772,snacks,1
GDZ-0105,2000000001050,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Brino Biscuits Crème Cacao 105g,105 g,piece,75.00,50.27,SUP-BOIS,carton,24,270,2.765,snacks,1
GDZ-0106,2000000001067,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Bimo,Petit Beurre Beurre Pur 150g,150 g,piece,101.00,65.62,SUP-BOIS,carton,20,270,1.027,snacks,1
GDZ-0107,2000000001074,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Gaufrettes Bimo Best Of,Best Of Crème Vanille 120g,120 g,piece,100.00,62.43,SUP-BOIS,carton,24,270,1.778,snacks,1
GDZ-0108,2000000001081,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Gaufrettes Bimo Best Of,Best Of Crème Chocolat 120g,120 g,piece,100.00,62.84,SUP-BOIS,carton,24,270,0.594,snacks,1
GDZ-0109,2000000001098,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Gaufrettes Bimo Best Of,Best Of Crème Noisette 120g,120 g,piece,95.00,58.02,SUP-BOIS,carton,24,270,0.964,snacks,1
GDZ-0110,2000000001104,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Gaufrettes Bimo Double Mix,Double Mix Vanille-Pistache 200g,200 g,piece,160.00,103.79,SUP-BOIS,carton,12,270,0.689,snacks,1
GDZ-0111,2000000001111,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Gaufrettes Bimo Double Mix,Double Mix Chocolat-Noisette 200g,200 g,piece,150.00,93.41,SUP-BOIS,carton,12,270,0.381,snacks,1
GDZ-0112,2000000001128,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Pâte à Tartiner El Mordjene CEBON,Pâte Noisette Grillée Bocal 350g,350 g,piece,750.00,451.22,SUP-BOIS,carton,12,365,0.671,sweets,3
GDZ-0113,2000000001135,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Pâte à Tartiner El Mordjene CEBON,Pâte Noisette Grillée Bocal 700g,700 g,piece,1370.00,917.86,SUP-BOIS,carton,6,365,0.188,sweets,3
GDZ-0114,2000000001142,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Pâte à Tartiner El Mordjene CEBON,Pâte Rocher Noisette Bocal 600g,600 g,piece,1100.00,686.19,SUP-BOIS,carton,6,365,0.465,sweets,3
GDZ-0115,2000000001159,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Pâte à Tartiner El Mordjene CEBON,Crème Bueno Blanc Bocal 350g,350 g,piece,724.00,458.54,SUP-BOIS,carton,12,365,0.902,sweets,3
GDZ-0116,2000000001166,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Pâte à Tartiner El Mordjene CEBON,Crème Bueno Blanc Bocal 700g,700 g,piece,1363.00,906.92,SUP-BOIS,carton,6,365,0.218,sweets,3
GDZ-0117,2000000001173,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Kool Supreme Biscuits 40g,40 g,piece,45.00,29.39,SUP-BOIS,carton,48,270,1.859,snacks,1
GDZ-0118,2000000001180,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Kool Cream Chocolat Sachet 220g,220 g,piece,140.00,89.14,SUP-BOIS,carton,10,270,0.524,snacks,1
GDZ-0119,2000000001197,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Kool Cream Vanille Sachet 220g,220 g,piece,140.00,90.03,SUP-BOIS,carton,10,270,1.260,snacks,1
GDZ-0120,2000000001203,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Break Kool Gaufrette Chocolat 35g,35 g,piece,40.00,24.63,SUP-BOIS,carton,48,270,2.830,snacks,1
GDZ-0121,2000000001210,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Maxon Galette au Lait 340g,340 g,piece,200.00,131.58,SUP-BOIS,carton,6,270,0.775,snacks,1
GDZ-0122,2000000001227,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Palmary,Sando Chocolat Enrobé 30g,30 g,piece,35.00,23.21,SUP-BOIS,carton,48,270,3.117,snacks,1
GDZ-0123,2000000001234,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Palmary Moment,Moment Chocolat au Lait 100g,100 g,piece,204.00,124.65,SUP-BOIS,carton,24,365,0.752,snacks,2
GDZ-0124,2000000001241,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Palmary Moment,Moment Noisette Éclats 100g,100 g,piece,210.00,136.71,SUP-BOIS,carton,24,365,1.089,snacks,2
GDZ-0125,2000000001258,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Palmary Moment,Moment Pistache Évasion 95g,95 g,piece,190.00,112.76,SUP-BOIS,carton,24,365,0.877,snacks,2
GDZ-0126,2000000001265,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Palmary Moment,Moment Djazair Kunafa Pistache 150g,150 g,piece,492.00,303.89,SUP-BOIS,carton,20,365,0.887,snacks,2
GDZ-0127,2000000001272,Épicerie Sucrée & Biscuiterie,Chocolat & Pâtes à Tartiner,Chocolat Palmary Moment,Moment Djazair Makrout Ellouz 150g,150 g,piece,470.00,287.43,SUP-BOIS,carton,20,365,0.457,snacks,2
GDZ-0128,2000000001289,Épicerie Sucrée & Biscuiterie,Biscuits & Gaufrettes,Biscuits Nounours,Gaufrette Nounours Chocolat 150g,150 g,piece,100.00,66.25,SUP-BOIS,carton,20,270,1.173,snacks,1
